sex,age,denom_breast_cancer,denom_cirrhosis,denom_esophageal_cancer,denom_epilepsy,denom_injuries,denom_ischaemic_stroke,denom_aud,denom_liver_cancer,denom_ischemic_heart_disease,denom_pancreatitis
Male,45,1.2625321922795973,3.839198191772083,1.4367856015124076,2.354969457603505,1.1217779534721497,1.1729070174483933,7.2692267814685145,1.1841480676256035,1.0,1.3733611670105808
Male,46,1.2628078643345453,3.8425837952797597,1.4372589082531397,2.3608951222425163,1.1219118974427162,1.1730671258419823,7.276313380845985,1.1843560849934596,1.0,1.3737511813515801
Male,47,1.2632340791302223,3.849366340741989,1.4379911579373579,2.3543354458448205,1.1220806422568195,1.1742341962536025,7.306699432836192,1.1845913226726932,1.0,1.3744037167378462
Male,48,1.2654537641719839,3.8865724721958665,1.4420461296481615,2.3700792860578686,1.123016759443655,1.1785918500321233,7.421761326369409,1.1859057316102382,1.0,1.377811239661835
Male,49,1.2631127584856203,3.8484589979399155,1.4378148221089324,2.357748767408048,1.122028519486731,1.1738908594934436,7.300020556714858,1.184524720324192,1.0,1.3742316660500682
Male,50,1.2636642187536107,3.8671096120313546,1.4390541246134345,2.3644590418612834,1.1222031266743315,1.1771250378701428,7.381359325140739,1.18470027870257,1.0,1.3752419328310714
Male,51,1.2613903438557748,3.827000478300607,1.4348659391550043,2.3495038884067094,1.1212539054773287,1.1722688034613356,7.249079599482416,1.1833696224630001,1.0,1.3717255216815196
Male,52,1.2630625437901972,3.843371819091396,1.4376269971967204,2.362590023786356,1.1220507213143842,1.1724833337005907,7.2726906506213975,1.1845992647762826,1.0,1.3740652577742165
Male,53,1.2645302912725704,3.872075750834736,1.4403828263367682,2.366535867476476,1.1226281544124819,1.1768158275104896,7.378075004348672,1.1853617116591975,1.0,1.3764012104402326
Male,54,1.26184686573876,3.8240596274865335,1.4354703872842207,2.357199222825146,1.121534460733265,1.1700654892990499,7.208066503353756,1.1838583171378887,1.0,1.3722274232421214
Male,55,1.2613284386996246,3.815211920247461,1.4345014236763503,2.349798393888355,1.1213052537460286,1.169475647594701,7.184452824042196,1.1835234229241467,1.0,1.371437019785252
Male,56,1.2629970929524281,3.841817329678432,1.437512138900363,2.35955606276288,1.1220162718306808,1.1725439772942547,7.2659028014414035,1.1845217105690449,1.0,1.373977956368545
Male,57,1.262217016773719,3.8376249841385657,1.4362524231220473,2.34402199544413,1.1216062918035647,1.1737669625939275,7.285997127315602,1.1838749322695847,1.0,1.372945429894832
Male,58,1.2601475016105264,3.7959325054316033,1.4323687225212807,2.3418425966613614,1.1208072208084725,1.1670139613835524,7.123859954814904,1.182827903898523,1.0,1.3696327644716866
Male,59,1.2613253690976394,3.8288474878417804,1.4348101202517296,2.3440914690641406,1.1212023649962435,1.1730259696917298,7.26773700004109,1.1832659372477212,1.0,1.3716839577761968
Male,60,1.262474507292429,3.8315802839824458,1.4364809535948335,2.3515469164792937,1.1218057337750396,1.1713658088884227,7.240924085299409,1.184256085397736,1.0,1.3731364348337074
Male,61,1.2644189824004648,3.8707194049939333,1.44021705929407,2.369658327459241,1.122577073201048,1.176568896152819,7.366810174972216,1.1852839974661253,1.0,1.3762454174873864
Male,62,1.2639771890537435,3.867631836212714,1.4395267023166702,2.368316309855528,1.1223671723125415,1.1767341305427799,7.368850498554009,1.1849470771219572,1.0,1.3756462762360446
Male,63,1.2640944324527943,3.8583652162452453,1.4394428882943209,2.3627742613293488,1.1224817316457123,1.174622840041481,7.317634414161544,1.185190493749666,1.0,1.3756297626378082
Male,64,1.260673944812404,3.8145620356741303,1.4335444808880353,2.3415771348599073,1.1209547716811337,1.1707644377151079,7.21283061619465,1.1829507722635977,1.0,1.3706194943768228
