age,sex,inc_breast_cancer,inc_cirrhosis,inc_esophageal_cancer,inc_epilepsy,inc_injuries,inc_ischaemic_stroke,inc_aud,inc_liver_cancer,inc_ischemic_heart_disease,inc_pancreatitis
30,Female,0.0002754829705786,1.7740986197e-05,1.734669953099999e-06,0.0002604012051266,0.1272450437228861,0.0001109447143536,0.0170598242090402,7.434603815999999e-07,6.03720046163e-05,0.0002892580774314
31,Female,0.0002754829705786,1.774098619700001e-05,1.734669953099999e-06,0.0002604012051266,0.1272450437228861,0.0001109447143536,0.0170598242090402,7.434603816e-07,6.037200461630001e-05,0.0002892580774314
32,Female,0.0002754829705786,1.7740986197e-05,1.734669953099998e-06,0.0002604012051265,0.1272450437228861,0.0001109447143536,0.0170598242090402,7.434603815999999e-07,6.03720046163e-05,0.0002892580774314
33,Female,0.0002754829705786,1.774098619699999e-05,1.734669953099999e-06,0.0002604012051266,0.1272450437228861,0.0001109447143536,0.0170598242090402,7.434603815999999e-07,6.03720046163e-05,0.0002892580774314
34,Female,0.0002754829705786,1.774098619700001e-05,1.734669953099999e-06,0.0002604012051266,0.1272450437228861,0.0001109447143536,0.0170598242090402,7.434603816e-07,6.03720046163e-05,0.0002892580774314
35,Female,0.0005455714034615,4.216573195050001e-05,2.7431455288e-06,0.0002553561044778,0.1146704388262686,0.0001766916879202,0.0165566220805311,1.2445118095e-06,0.0001070358955703,0.0003742652124746
36,Female,0.0005455714034615,4.216573195049999e-05,2.7431455288e-06,0.0002553561044777,0.1146704388262686,0.0001766916879202,0.0165566220805311,1.2445118095e-06,0.0001070358955703,0.0003742652124746
37,Female,0.0005455714034615,4.216573195049999e-05,2.7431455288e-06,0.0002553561044778,0.1146704388262686,0.0001766916879202,0.0165566220805311,1.2445118095e-06,0.0001070358955703,0.0003742652124746
38,Female,0.0005455714034615,4.216573195049999e-05,2.7431455288e-06,0.0002553561044778,0.1146704388262686,0.0001766916879202,0.0165566220805311,1.2445118095e-06,0.0001070358955703,0.0003742652124746
39,Female,0.0005455714034615,4.216573195049999e-05,2.7431455288e-06,0.0002553561044778,0.1146704388262686,0.0001766916879202,0.0165566220805311,1.2445118095e-06,0.0001070358955703,0.0003742652124746
40,Female,0.0009178609430922,7.524563760919999e-05,4.3150197955e-06,0.0002572788894377,0.1037466771574262,0.000244092354881,0.0154734943502506,2.399773722099999e-06,0.0002270326170859,0.0004884887672833
41,Female,0.0009178609430922,7.524563760919999e-05,4.3150197955e-06,0.0002572788894377,0.1037466771574262,0.0002440923548811,0.0154734943502506,2.399773722099999e-06,0.0002270326170859,0.0004884887672833
42,Female,0.0009178609430922,7.524563760919999e-05,4.3150197955e-06,0.0002572788894378,0.1037466771574262,0.000244092354881,0.0154734943502506,2.399773722099999e-06,0.0002270326170859,0.0004884887672833
43,Female,0.0009178609430922,7.52456376092e-05,4.315019795500001e-06,0.0002572788894378,0.1037466771574262,0.0002440923548811,0.0154734943502506,2.399773722099999e-06,0.0002270326170859,0.0004884887672833
44,Female,0.0009178609430922,7.524563760919999e-05,4.315019795499999e-06,0.0002572788894377,0.1037466771574262,0.000244092354881,0.0154734943502506,2.399773722099999e-06,0.0002270326170859,0.0004884887672833
45,Female,0.0011811742646772,0.0001210064855313,9.2070529263e-06,0.0002663124866205,0.0988527697189361,0.0003150387705402,0.0138426373413848,5.4148655018e-06,0.000429952347242,0.0005600232799102
